   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
6.6834e+05,9.7200e-01,1.5727e-02
7.9433e+05,9.7371e-01,1.5009e-02
9.4406e+05,9.7534e-01,1.4306e-02
1.1220e+06,9.7690e-01,1.3620e-02
1.3335e+06,9.7838e-01,1.2951e-02
1.5849e+06,9.7978e-01,1.2299e-02
1.8836e+06,9.8112e-01,1.1665e-02
2.2387e+06,9.8238e-01,1.1049e-02
2.6607e+06,9.8357e-01,1.0452e-02
3.1623e+06,9.8470e-01,9.8741e-03
3.7584e+06,9.8577e-01,9.3158e-03
4.4668e+06,9.8677e-01,8.7774e-03
5.3088e+06,9.8772e-01,8.2591e-03
6.3096e+06,9.8861e-01,7.7610e-03
7.4989e+06,9.8944e-01,7.2832e-03
8.9125e+06,9.9022e-01,6.8258e-03
1.0593e+07,9.9096e-01,6.3885e-03
1.2589e+07,9.9164e-01,5.9715e-03
1.4962e+07,9.9228e-01,5.5743e-03
1.7783e+07,9.9288e-01,5.1969e-03
2.1135e+07,9.9343e-01,4.8388e-03
2.5119e+07,9.9395e-01,4.4998e-03
2.9854e+07,9.9443e-01,4.1793e-03
3.5481e+07,9.9487e-01,3.8769e-03
4.2170e+07,9.9528e-01,3.5921e-03
5.0119e+07,9.9567e-01,3.3244e-03
5.9566e+07,9.9602e-01,3.0731e-03
7.0795e+07,9.9635e-01,2.8377e-03
8.4140e+07,9.9665e-01,2.6176e-03
1.0000e+08,9.9692e-01,2.4120e-03
1.1885e+08,9.9718e-01,2.2204e-03
1.4125e+08,9.9741e-01,2.0421e-03
1.6788e+08,9.9763e-01,1.8764e-03
1.9953e+08,9.9783e-01,1.7227e-03
2.3714e+08,9.9801e-01,1.5804e-03
2.8184e+08,9.9818e-01,1.4487e-03
3.3497e+08,9.9833e-01,1.3271e-03
3.9811e+08,9.9847e-01,1.2149e-03
4.7315e+08,9.9860e-01,1.1116e-03
5.6234e+08,9.9872e-01,1.0166e-03
6.6834e+08,9.9882e-01,9.2926e-04
7.9433e+08,9.9892e-01,8.4914e-04
9.4406e+08,9.9901e-01,7.7570e-04
1.1220e+09,9.9909e-01,7.0846e-04
1.3335e+09,9.9917e-01,6.4695e-04
1.5849e+09,9.9923e-01,5.9074e-04
1.8836e+09,9.9930e-01,5.3942e-04
2.2387e+09,9.9935e-01,4.9259e-04
2.6607e+09,9.9940e-01,4.4990e-04
3.1623e+09,9.9945e-01,4.1100e-04
3.7584e+09,9.9950e-01,3.7557e-04
4.4668e+09,9.9953e-01,3.4333e-04
5.3088e+09,9.9957e-01,3.1399e-04
6.3096e+09,9.9960e-01,2.8730e-04
