tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.00019789259956009647,0.9998,0.00019785302104018446
9.801527487102143e-12,0.0004996485267991904,0.9998,0.0004995485970938306
6.036253047501983e-11,0.0014842238964043973,0.9998,0.0014839270516251164
3.717415628731503e-10,0.0036266418760916245,0.9998,0.0036259165477164064
2.289363763531746e-09,0.008036654742946472,0.9998,0.008035047411997884
1.4099005781292647e-08,0.01545889166400334,0.9998,0.01545579988567054
8.682847488097483e-08,0.02545090709453453,0.9998,0.025445816913115624
5.347316092491864e-07,0.036208836279006035,0.9998,0.036201594511750236
3.29313504956448e-06,0.045811918604703086,0.9998,0.04580275622098215
2.0280713290729947e-05,0.05517719249527906,0.9998,0.055166157056780005
0.00012518998883066456,0.06937617658395034,0.9998,0.06936230134863355
0.0007692002359330972,0.09415046009931625,0.9998,0.0941316300072964
0.004737082735544359,0.13480095649165136,0.9998,0.13477399630035303
0.02917278976744428,0.1785850718696649,0.9998,0.17854935485529097
0.17966014752900222,0.23854241614119526,0.9998,0.23849470765796701
1.1064336969044741,0.09171380634210419,0.9998,0.09169546358083577
6.813952142756727,0.0,0.9998,0.0
41.96360237406243,0.0005627649688033173,0.9998,0.0005626524158095567
258.4320945195246,0.00020440870277629018,0.9998,0.00020436782103573493
1591.5494309189535,0.0,0.9998,0.0
