   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8883e-07,9.9652e-05
1.0351e-04,6.2283e-07,1.0315e-04
1.0715e-04,6.5878e-07,1.0676e-04
1.1092e-04,6.9681e-07,1.1051e-04
1.1482e-04,7.3704e-07,1.1438e-04
1.1885e-04,7.7958e-07,1.1839e-04
1.2303e-04,8.2459e-07,1.2254e-04
1.2735e-04,8.7219e-07,1.2684e-04
1.3183e-04,9.2255e-07,1.3128e-04
1.3646e-04,9.7581e-07,1.3588e-04
1.4125e-04,1.0321e-06,1.4064e-04
1.4622e-04,1.0917e-06,1.4557e-04
1.5136e-04,1.1548e-06,1.5067e-04
1.5668e-04,1.2214e-06,1.5595e-04
1.6218e-04,1.2920e-06,1.6142e-04
1.6788e-04,1.3665e-06,1.6707e-04
1.7378e-04,1.4454e-06,1.7293e-04
1.7989e-04,1.5289e-06,1.7898e-04
1.8621e-04,1.6172e-06,1.8525e-04
1.9275e-04,1.7105e-06,1.9174e-04
1.9953e-04,1.8093e-06,1.9846e-04
2.0654e-04,1.9138e-06,2.0541e-04
2.1380e-04,2.0243e-06,2.1260e-04
2.2131e-04,2.1411e-06,2.2004e-04
2.2909e-04,2.2648e-06,2.2775e-04
2.3714e-04,2.3955e-06,2.3572e-04
2.4547e-04,2.5339e-06,2.4397e-04
2.5410e-04,2.6802e-06,2.5251e-04
2.6303e-04,2.8349e-06,2.6135e-04
2.7227e-04,2.9986e-06,2.7050e-04
2.8184e-04,3.1717e-06,2.7996e-04
2.9174e-04,3.3548e-06,2.8976e-04
3.0200e-04,3.5485e-06,2.9990e-04
3.1261e-04,3.7534e-06,3.1039e-04
3.2359e-04,3.9701e-06,3.2125e-04
3.3497e-04,4.1993e-06,3.3248e-04
3.4674e-04,4.4418e-06,3.4411e-04
3.5892e-04,4.6982e-06,3.5614e-04
3.7154e-04,4.9695e-06,3.6860e-04
3.8459e-04,5.2564e-06,3.8148e-04
3.9811e-04,5.5598e-06,3.9482e-04
4.1210e-04,5.8808e-06,4.0862e-04
4.2658e-04,6.2203e-06,4.2290e-04
4.4157e-04,6.5793e-06,4.3767e-04
4.5709e-04,6.9591e-06,4.5297e-04
4.7315e-04,7.3609e-06,4.6879e-04
4.8978e-04,7.7857e-06,4.8517e-04
5.0699e-04,8.2351e-06,5.0211e-04
5.2481e-04,8.7105e-06,5.1964e-04
5.4325e-04,9.2132e-06,5.3779e-04
5.6234e-04,9.7449e-06,5.5656e-04
5.8210e-04,1.0307e-05,5.7599e-04
6.0256e-04,1.0902e-05,5.9609e-04
6.2373e-04,1.1531e-05,6.1689e-04
6.4565e-04,1.2197e-05,6.3841e-04
6.6834e-04,1.2900e-05,6.6068e-04
6.9183e-04,1.3645e-05,6.8372e-04
7.1614e-04,1.4432e-05,7.0756e-04
7.4131e-04,1.5265e-05,7.3223e-04
7.6736e-04,1.6145e-05,7.5775e-04
7.9433e-04,1.7077e-05,7.8416e-04
8.2224e-04,1.8062e-05,8.1149e-04
8.5114e-04,1.9103e-05,8.3976e-04
8.8105e-04,2.0205e-05,8.6901e-04
9.1201e-04,2.1370e-05,8.9927e-04
9.4406e-04,2.2603e-05,9.3058e-04
9.7724e-04,2.3906e-05,9.6297e-04
1.0116e-03,2.5284e-05,9.9648e-04
1.0471e-03,2.6742e-05,1.0311e-03
1.0839e-03,2.8283e-05,1.0670e-03
1.1220e-03,2.9913e-05,1.1041e-03
1.1614e-03,3.1637e-05,1.1425e-03
1.2023e-03,3.3460e-05,1.1822e-03
1.2445e-03,3.5388e-05,1.2233e-03
1.2882e-03,3.7427e-05,1.2658e-03
1.3335e-03,3.9583e-05,1.3098e-03
1.3804e-03,4.1863e-05,1.3552e-03
1.4289e-03,4.4273e-05,1.4023e-03
1.4791e-03,4.6823e-05,1.4509e-03
1.5311e-03,4.9518e-05,1.5013e-03
1.5849e-03,5.2369e-05,1.5533e-03
1.6406e-03,5.5383e-05,1.6072e-03
1.6982e-03,5.8570e-05,1.6629e-03
1.7579e-03,6.1940e-05,1.7205e-03
1.8197e-03,6.5503e-05,1.7801e-03
1.8836e-03,6.9270e-05,1.8417e-03
1.9498e-03,7.3254e-05,1.9055e-03
2.0184e-03,7.7465e-05,1.9714e-03
2.0893e-03,8.1918e-05,2.0396e-03
2.1627e-03,8.6626e-05,2.1101e-03
2.2387e-03,9.1603e-05,2.1830e-03
2.3174e-03,9.6865e-05,2.2584e-03
2.3988e-03,1.0243e-04,2.3364e-03
2.4831e-03,1.0831e-04,2.4170e-03
2.5704e-03,1.1453e-04,2.5004e-03
2.6607e-03,1.2110e-04,2.5866e-03
2.7542e-03,1.2805e-04,2.6757e-03
2.8510e-03,1.3539e-04,2.7679e-03
2.9512e-03,1.4315e-04,2.8632e-03
3.0549e-03,1.5136e-04,2.9617e-03
3.1623e-03,1.6003e-04,3.0636e-03
3.2734e-03,1.6920e-04,3.1689e-03
3.3884e-03,1.7889e-04,3.2778e-03
3.5075e-03,1.8913e-04,3.3903e-03
3.6308e-03,1.9995e-04,3.5067e-03
3.7584e-03,2.1139e-04,3.6270e-03
3.8905e-03,2.2348e-04,3.7513e-03
4.0272e-03,2.3625e-04,3.8798e-03
4.1687e-03,2.4975e-04,4.0126e-03
4.3152e-03,2.6401e-04,4.1499e-03
4.4668e-03,2.7909e-04,4.2917e-03
4.6238e-03,2.9501e-04,4.4383e-03
4.7863e-03,3.1184e-04,4.5898e-03
4.9545e-03,3.2961e-04,4.7464e-03
5.1286e-03,3.4840e-04,4.9081e-03
5.3088e-03,3.6824e-04,5.0753e-03
5.4954e-03,3.8920e-04,5.2480e-03
5.6885e-03,4.1134e-04,5.4264e-03
5.8884e-03,4.3472e-04,5.6107e-03
6.0954e-03,4.5942e-04,5.8012e-03
6.3096e-03,4.8551e-04,5.9979e-03
6.5313e-03,5.1306e-04,6.2010e-03
6.7608e-03,5.4216e-04,6.4109e-03
6.9984e-03,5.7289e-04,6.6276e-03
7.2444e-03,6.0533e-04,6.8514e-03
7.4989e-03,6.3959e-04,7.0826e-03
7.7625e-03,6.7576e-04,7.3212e-03
8.0353e-03,7.1395e-04,7.5677e-03
8.3176e-03,7.5426e-04,7.8221e-03
8.6099e-03,7.9681e-04,8.0847e-03
8.9125e-03,8.4173e-04,8.3559e-03
9.2257e-03,8.8914e-04,8.6357e-03
9.5499e-03,9.3917e-04,8.9246e-03
9.8855e-03,9.9196e-04,9.2227e-03
1.0233e-02,1.0477e-03,9.5303e-03
1.0593e-02,1.1064e-03,9.8477e-03
1.0965e-02,1.1685e-03,1.0175e-02
1.1350e-02,1.2339e-03,1.0513e-02
1.1749e-02,1.3029e-03,1.0862e-02
1.2162e-02,1.3757e-03,1.1221e-02
1.2589e-02,1.4524e-03,1.1592e-02
1.3032e-02,1.5334e-03,1.1974e-02
1.3490e-02,1.6187e-03,1.2368e-02
1.3964e-02,1.7087e-03,1.2775e-02
1.4454e-02,1.8035e-03,1.3194e-02
1.4962e-02,1.9035e-03,1.3626e-02
1.5488e-02,2.0089e-03,1.4071e-02
1.6032e-02,2.1199e-03,1.4529e-02
1.6596e-02,2.2369e-03,1.5002e-02
1.7179e-02,2.3601e-03,1.5488e-02
1.7783e-02,2.4899e-03,1.5990e-02
1.8408e-02,2.6267e-03,1.6506e-02
1.9055e-02,2.7707e-03,1.7038e-02
1.9724e-02,2.9223e-03,1.7585e-02
2.0417e-02,3.0819e-03,1.8148e-02
2.1135e-02,3.2499e-03,1.8728e-02
2.1878e-02,3.4267e-03,1.9325e-02
2.2646e-02,3.6128e-03,1.9939e-02
2.3442e-02,3.8085e-03,2.0570e-02
2.4266e-02,4.0144e-03,2.1219e-02
2.5119e-02,4.2309e-03,2.1887e-02
2.6002e-02,4.4586e-03,2.2573e-02
2.6915e-02,4.6979e-03,2.3279e-02
2.7861e-02,4.9495e-03,2.4003e-02
2.8840e-02,5.2139e-03,2.4748e-02
2.9854e-02,5.4916e-03,2.5513e-02
3.0903e-02,5.7833e-03,2.6298e-02
3.1989e-02,6.0897e-03,2.7104e-02
3.3113e-02,6.4113e-03,2.7931e-02
3.4277e-02,6.7489e-03,2.8779e-02
3.5481e-02,7.1032e-03,2.9649e-02
3.6728e-02,7.4749e-03,3.0542e-02
3.8019e-02,7.8647e-03,3.1457e-02
3.9355e-02,8.2735e-03,3.2394e-02
4.0738e-02,8.7020e-03,3.3354e-02
4.2170e-02,9.1510e-03,3.4338e-02
4.3652e-02,9.6215e-03,3.5345e-02
4.5186e-02,1.0114e-02,3.6375e-02
4.6774e-02,1.0630e-02,3.7429e-02
4.8417e-02,1.1170e-02,3.8507e-02
5.0119e-02,1.1735e-02,3.9609e-02
5.1880e-02,1.2326e-02,4.0735e-02
5.3703e-02,1.2944e-02,4.1885e-02
5.5590e-02,1.3590e-02,4.3059e-02
5.7544e-02,1.4264e-02,4.4257e-02
5.9566e-02,1.4969e-02,4.5479e-02
6.1660e-02,1.5705e-02,4.6726e-02
6.3826e-02,1.6473e-02,4.7996e-02
6.6069e-02,1.7274e-02,4.9290e-02
6.8391e-02,1.8109e-02,5.0607e-02
7.0795e-02,1.8980e-02,5.1948e-02
7.3282e-02,1.9888e-02,5.3311e-02
