   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8845e-07,9.9652e-05
1.0351e-04,6.2241e-07,1.0315e-04
1.0715e-04,6.5834e-07,1.0676e-04
1.1092e-04,6.9634e-07,1.1051e-04
1.1482e-04,7.3653e-07,1.1438e-04
1.1885e-04,7.7904e-07,1.1839e-04
1.2303e-04,8.2401e-07,1.2254e-04
1.2735e-04,8.7157e-07,1.2684e-04
1.3183e-04,9.2188e-07,1.3128e-04
1.3646e-04,9.7509e-07,1.3588e-04
1.4125e-04,1.0314e-06,1.4064e-04
1.4622e-04,1.0909e-06,1.4557e-04
1.5136e-04,1.1539e-06,1.5067e-04
1.5668e-04,1.2205e-06,1.5595e-04
1.6218e-04,1.2909e-06,1.6142e-04
1.6788e-04,1.3655e-06,1.6707e-04
1.7378e-04,1.4443e-06,1.7293e-04
1.7989e-04,1.5277e-06,1.7898e-04
1.8621e-04,1.6158e-06,1.8525e-04
1.9275e-04,1.7091e-06,1.9174e-04
1.9953e-04,1.8078e-06,1.9846e-04
2.0654e-04,1.9121e-06,2.0541e-04
2.1380e-04,2.0225e-06,2.1260e-04
2.2131e-04,2.1393e-06,2.2004e-04
2.2909e-04,2.2628e-06,2.2775e-04
2.3714e-04,2.3934e-06,2.3572e-04
2.4547e-04,2.5316e-06,2.4397e-04
2.5410e-04,2.6777e-06,2.5251e-04
2.6303e-04,2.8323e-06,2.6135e-04
2.7227e-04,2.9958e-06,2.7050e-04
2.8184e-04,3.1687e-06,2.7996e-04
2.9174e-04,3.3516e-06,2.8976e-04
3.0200e-04,3.5451e-06,2.9990e-04
3.1261e-04,3.7497e-06,3.1039e-04
3.2359e-04,3.9661e-06,3.2125e-04
3.3497e-04,4.1951e-06,3.3248e-04
3.4674e-04,4.4372e-06,3.4411e-04
3.5892e-04,4.6933e-06,3.5614e-04
3.7154e-04,4.9642e-06,3.6860e-04
3.8459e-04,5.2508e-06,3.8148e-04
3.9811e-04,5.5538e-06,3.9482e-04
4.1210e-04,5.8744e-06,4.0862e-04
4.2658e-04,6.2134e-06,4.2290e-04
4.4157e-04,6.5720e-06,4.3767e-04
4.5709e-04,6.9512e-06,4.5297e-04
4.7315e-04,7.3524e-06,4.6879e-04
4.8978e-04,7.7767e-06,4.8517e-04
5.0699e-04,8.2254e-06,5.0211e-04
5.2481e-04,8.7001e-06,5.1964e-04
5.4325e-04,9.2021e-06,5.3779e-04
5.6234e-04,9.7330e-06,5.5656e-04
5.8210e-04,1.0295e-05,5.7599e-04
6.0256e-04,1.0889e-05,5.9609e-04
6.2373e-04,1.1517e-05,6.1689e-04
6.4565e-04,1.2181e-05,6.3841e-04
6.6834e-04,1.2884e-05,6.6068e-04
6.9183e-04,1.3627e-05,6.8372e-04
7.1614e-04,1.4413e-05,7.0756e-04
7.4131e-04,1.5244e-05,7.3223e-04
7.6736e-04,1.6123e-05,7.5776e-04
7.9433e-04,1.7053e-05,7.8416e-04
8.2224e-04,1.8036e-05,8.1149e-04
8.5114e-04,1.9076e-05,8.3976e-04
8.8105e-04,2.0176e-05,8.6901e-04
9.1201e-04,2.1339e-05,8.9927e-04
9.4406e-04,2.2569e-05,9.3058e-04
9.7724e-04,2.3870e-05,9.6297e-04
1.0116e-03,2.5246e-05,9.9648e-04
1.0471e-03,2.6701e-05,1.0312e-03
1.0839e-03,2.8239e-05,1.0670e-03
1.1220e-03,2.9866e-05,1.1041e-03
1.1614e-03,3.1587e-05,1.1425e-03
1.2023e-03,3.3407e-05,1.1822e-03
1.2445e-03,3.5331e-05,1.2233e-03
1.2882e-03,3.7366e-05,1.2658e-03
1.3335e-03,3.9517e-05,1.3098e-03
1.3804e-03,4.1792e-05,1.3552e-03
1.4289e-03,4.4198e-05,1.4023e-03
1.4791e-03,4.6742e-05,1.4509e-03
1.5311e-03,4.9432e-05,1.5013e-03
1.5849e-03,5.2277e-05,1.5533e-03
1.6406e-03,5.5284e-05,1.6072e-03
1.6982e-03,5.8464e-05,1.6629e-03
1.7579e-03,6.1827e-05,1.7205e-03
1.8197e-03,6.5382e-05,1.7801e-03
1.8836e-03,6.9141e-05,1.8417e-03
1.9498e-03,7.3115e-05,1.9055e-03
2.0184e-03,7.7317e-05,1.9714e-03
2.0893e-03,8.1759e-05,2.0396e-03
2.1627e-03,8.6456e-05,2.1101e-03
2.2387e-03,9.1422e-05,2.1830e-03
2.3174e-03,9.6671e-05,2.2584e-03
2.3988e-03,1.0222e-04,2.3364e-03
2.4831e-03,1.0809e-04,2.4170e-03
2.5704e-03,1.1429e-04,2.5004e-03
2.6607e-03,1.2084e-04,2.5866e-03
2.7542e-03,1.2777e-04,2.6758e-03
2.8510e-03,1.3510e-04,2.7679e-03
2.9512e-03,1.4284e-04,2.8632e-03
3.0549e-03,1.5103e-04,2.9618e-03
3.1623e-03,1.5968e-04,3.0636e-03
3.2734e-03,1.6882e-04,3.1690e-03
3.3884e-03,1.7848e-04,3.2778e-03
3.5075e-03,1.8869e-04,3.3904e-03
3.6308e-03,1.9949e-04,3.5068e-03
3.7584e-03,2.1089e-04,3.6270e-03
3.8905e-03,2.2295e-04,3.7514e-03
4.0272e-03,2.3568e-04,3.8799e-03
4.1687e-03,2.4914e-04,4.0127e-03
4.3152e-03,2.6336e-04,4.1499e-03
4.4668e-03,2.7839e-04,4.2918e-03
4.6238e-03,2.9427e-04,4.4384e-03
4.7863e-03,3.1104e-04,4.5899e-03
4.9545e-03,3.2877e-04,4.7465e-03
5.1286e-03,3.4749e-04,4.9083e-03
5.3088e-03,3.6727e-04,5.0755e-03
5.4954e-03,3.8816e-04,5.2482e-03
5.6885e-03,4.1023e-04,5.4266e-03
5.8884e-03,4.3354e-04,5.6109e-03
6.0954e-03,4.5816e-04,5.8014e-03
6.3096e-03,4.8416e-04,5.9981e-03
6.5313e-03,5.1162e-04,6.2013e-03
6.7608e-03,5.4062e-04,6.4112e-03
6.9984e-03,5.7125e-04,6.6279e-03
7.2444e-03,6.0358e-04,6.8518e-03
7.4989e-03,6.3772e-04,7.0829e-03
7.7625e-03,6.7376e-04,7.3216e-03
8.0353e-03,7.1182e-04,7.5681e-03
8.3176e-03,7.5198e-04,7.8226e-03
8.6099e-03,7.9438e-04,8.0853e-03
8.9125e-03,8.3914e-04,8.3564e-03
9.2257e-03,8.8637e-04,8.6364e-03
9.5499e-03,9.3621e-04,8.9253e-03
9.8855e-03,9.8881e-04,9.2234e-03
1.0233e-02,1.0443e-03,9.5311e-03
1.0593e-02,1.1029e-03,9.8486e-03
1.0965e-02,1.1646e-03,1.0176e-02
1.1350e-02,1.2298e-03,1.0514e-02
1.1749e-02,1.2985e-03,1.0863e-02
1.2162e-02,1.3710e-03,1.1222e-02
1.2589e-02,1.4475e-03,1.1593e-02
1.3032e-02,1.5281e-03,1.1976e-02
1.3490e-02,1.6131e-03,1.2370e-02
1.3964e-02,1.7027e-03,1.2777e-02
1.4454e-02,1.7972e-03,1.3196e-02
1.4962e-02,1.8967e-03,1.3628e-02
1.5488e-02,2.0016e-03,1.4073e-02
1.6032e-02,2.1122e-03,1.4532e-02
1.6596e-02,2.2287e-03,1.5004e-02
