   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8753e-07,9.9652e-05
1.0351e-04,6.2142e-07,1.0315e-04
1.0715e-04,6.5728e-07,1.0676e-04
1.1092e-04,6.9520e-07,1.1051e-04
1.1482e-04,7.3531e-07,1.1438e-04
1.1885e-04,7.7774e-07,1.1839e-04
1.2303e-04,8.2261e-07,1.2254e-04
1.2735e-04,8.7007e-07,1.2684e-04
1.3183e-04,9.2027e-07,1.3128e-04
1.3646e-04,9.7337e-07,1.3588e-04
1.4125e-04,1.0295e-06,1.4064e-04
1.4622e-04,1.0889e-06,1.4557e-04
1.5136e-04,1.1518e-06,1.5067e-04
1.5668e-04,1.2182e-06,1.5595e-04
1.6218e-04,1.2885e-06,1.6142e-04
1.6788e-04,1.3629e-06,1.6707e-04
1.7378e-04,1.4415e-06,1.7293e-04
1.7989e-04,1.5247e-06,1.7898e-04
1.8621e-04,1.6126e-06,1.8525e-04
1.9275e-04,1.7057e-06,1.9174e-04
1.9953e-04,1.8041e-06,1.9846e-04
2.0654e-04,1.9082e-06,2.0541e-04
2.1380e-04,2.0183e-06,2.1260e-04
2.2131e-04,2.1348e-06,2.2004e-04
2.2909e-04,2.2579e-06,2.2775e-04
2.3714e-04,2.3882e-06,2.3572e-04
2.4547e-04,2.5260e-06,2.4397e-04
2.5410e-04,2.6718e-06,2.5251e-04
2.6303e-04,2.8259e-06,2.6135e-04
2.7227e-04,2.9889e-06,2.7050e-04
2.8184e-04,3.1614e-06,2.7996e-04
2.9174e-04,3.3438e-06,2.8976e-04
3.0200e-04,3.5367e-06,2.9990e-04
3.1261e-04,3.7407e-06,3.1039e-04
3.2359e-04,3.9565e-06,3.2125e-04
3.3497e-04,4.1848e-06,3.3248e-04
3.4674e-04,4.4262e-06,3.4411e-04
3.5892e-04,4.6815e-06,3.5614e-04
3.7154e-04,4.9516e-06,3.6860e-04
3.8459e-04,5.2372e-06,3.8148e-04
3.9811e-04,5.5393e-06,3.9482e-04
4.1210e-04,5.8588e-06,4.0862e-04
4.2658e-04,6.1967e-06,4.2290e-04
4.4157e-04,6.5541e-06,4.3768e-04
4.5709e-04,6.9322e-06,4.5297e-04
4.7315e-04,7.3319e-06,4.6879e-04
4.8978e-04,7.7548e-06,4.8517e-04
5.0699e-04,8.2020e-06,5.0211e-04
5.2481e-04,8.6749e-06,5.1964e-04
5.4325e-04,9.1752e-06,5.3779e-04
5.6234e-04,9.7042e-06,5.5656e-04
5.8210e-04,1.0264e-05,5.7599e-04
6.0256e-04,1.0855e-05,5.9609e-04
6.2373e-04,1.1481e-05,6.1689e-04
6.4565e-04,1.2143e-05,6.3841e-04
6.6834e-04,1.2843e-05,6.6068e-04
6.9183e-04,1.3583e-05,6.8372e-04
7.1614e-04,1.4366e-05,7.0757e-04
7.4131e-04,1.5194e-05,7.3223e-04
7.6736e-04,1.6070e-05,7.5776e-04
7.9433e-04,1.6996e-05,7.8417e-04
8.2224e-04,1.7975e-05,8.1149e-04
8.5114e-04,1.9011e-05,8.3976e-04
8.8105e-04,2.0106e-05,8.6901e-04
9.1201e-04,2.1264e-05,8.9927e-04
9.4406e-04,2.2489e-05,9.3058e-04
9.7724e-04,2.3784e-05,9.6297e-04
1.0116e-03,2.5154e-05,9.9649e-04
1.0471e-03,2.6602e-05,1.0312e-03
1.0839e-03,2.8134e-05,1.0670e-03
1.1220e-03,2.9753e-05,1.1041e-03
1.1614e-03,3.1466e-05,1.1425e-03
1.2023e-03,3.3277e-05,1.1822e-03
1.2445e-03,3.5192e-05,1.2233e-03
1.2882e-03,3.7217e-05,1.2658e-03
1.3335e-03,3.9358e-05,1.3098e-03
1.3804e-03,4.1622e-05,1.3553e-03
1.4289e-03,4.4016e-05,1.4023e-03
1.4791e-03,4.6547e-05,1.4510e-03
1.5311e-03,4.9223e-05,1.5013e-03
1.5849e-03,5.2053e-05,1.5534e-03
1.6406e-03,5.5045e-05,1.6072e-03
1.6982e-03,5.8208e-05,1.6629e-03
1.7579e-03,6.1552e-05,1.7205e-03
1.8197e-03,6.5088e-05,1.7801e-03
1.8836e-03,6.8826e-05,1.8418e-03
1.9498e-03,7.2779e-05,1.9055e-03
2.0184e-03,7.6957e-05,1.9714e-03
2.0893e-03,8.1374e-05,2.0396e-03
2.1627e-03,8.6044e-05,2.1101e-03
2.2387e-03,9.0980e-05,2.1830e-03
2.3174e-03,9.6198e-05,2.2584e-03
2.3988e-03,1.0171e-04,2.3364e-03
2.4831e-03,1.0755e-04,2.4171e-03
2.5704e-03,1.1371e-04,2.5004e-03
2.6607e-03,1.2022e-04,2.5867e-03
2.7542e-03,1.2711e-04,2.6758e-03
2.8510e-03,1.3439e-04,2.7680e-03
2.9512e-03,1.4208e-04,2.8633e-03
3.0549e-03,1.5021e-04,2.9619e-03
3.1623e-03,1.5881e-04,3.0637e-03
3.2734e-03,1.6789e-04,3.1691e-03
3.3884e-03,1.7749e-04,3.2780e-03
3.5075e-03,1.8763e-04,3.3905e-03
3.6308e-03,1.9835e-04,3.5069e-03
3.7584e-03,2.0968e-04,3.6272e-03
3.8905e-03,2.2165e-04,3.7515e-03
4.0272e-03,2.3429e-04,3.8800e-03
4.1687e-03,2.4766e-04,4.0129e-03
4.3152e-03,2.6178e-04,4.1502e-03
4.4668e-03,2.7669e-04,4.2920e-03
4.6238e-03,2.9245e-04,4.4387e-03
4.7863e-03,3.0910e-04,4.5902e-03
4.9545e-03,3.2669e-04,4.7468e-03
5.1286e-03,3.4527e-04,4.9086e-03
5.3088e-03,3.6490e-04,5.0758e-03
5.4954e-03,3.8563e-04,5.2486e-03
5.6885e-03,4.0752e-04,5.4270e-03
5.8884e-03,4.3065e-04,5.6114e-03
6.0954e-03,4.5507e-04,5.8019e-03
6.3096e-03,4.8086e-04,5.9987e-03
6.5313e-03,5.0810e-04,6.2019e-03
6.7608e-03,5.3686e-04,6.4118e-03
6.9984e-03,5.6722e-04,6.6287e-03
7.2444e-03,5.9928e-04,6.8526e-03
7.4989e-03,6.3313e-04,7.0838e-03
7.7625e-03,6.6886e-04,7.3226e-03
8.0353e-03,7.0658e-04,7.5691e-03
8.3176e-03,7.4639e-04,7.8237e-03
8.6099e-03,7.8841e-04,8.0865e-03
8.9125e-03,8.3276e-04,8.3578e-03
9.2257e-03,8.7956e-04,8.6378e-03
9.5499e-03,9.2895e-04,8.9269e-03
9.8855e-03,9.8106e-04,9.2252e-03
1.0233e-02,1.0360e-03,9.5330e-03
1.0593e-02,1.0940e-03,9.8507e-03
1.0965e-02,1.1552e-03,1.0178e-02
1.1350e-02,1.2198e-03,1.0517e-02
1.1749e-02,1.2878e-03,1.0865e-02
1.2162e-02,1.3596e-03,1.1225e-02
1.2589e-02,1.4353e-03,1.1596e-02
1.3032e-02,1.5151e-03,1.1979e-02
1.3490e-02,1.5993e-03,1.2374e-02
1.3964e-02,1.6880e-03,1.2781e-02
1.4454e-02,1.7815e-03,1.3200e-02
1.4962e-02,1.8800e-03,1.3633e-02
1.5488e-02,1.9838e-03,1.4078e-02
1.6032e-02,2.0932e-03,1.4537e-02
1.6596e-02,2.2085e-03,1.5011e-02
1.7179e-02,2.3299e-03,1.5498e-02
1.7783e-02,2.4578e-03,1.6000e-02
1.8408e-02,2.5925e-03,1.6518e-02
1.9055e-02,2.7343e-03,1.7050e-02
1.9724e-02,2.8836e-03,1.7599e-02
2.0417e-02,3.0408e-03,1.8163e-02
2.1135e-02,3.2062e-03,1.8745e-02
2.1878e-02,3.3802e-03,1.9343e-02
2.2646e-02,3.5634e-03,1.9958e-02
2.3442e-02,3.7561e-03,2.0591e-02
2.4266e-02,3.9587e-03,2.1242e-02
2.5119e-02,4.1718e-03,2.1912e-02
2.6002e-02,4.3958e-03,2.2600e-02
2.6915e-02,4.6314e-03,2.3308e-02
2.7861e-02,4.8789e-03,2.4035e-02
2.8840e-02,5.1390e-03,2.4782e-02
2.9854e-02,5.4122e-03,2.5550e-02
3.0903e-02,5.6992e-03,2.6338e-02
3.1989e-02,6.0006e-03,2.7147e-02
3.3113e-02,6.3170e-03,2.7978e-02
3.4277e-02,6.6491e-03,2.8831e-02
3.5481e-02,6.9976e-03,2.9705e-02
3.6728e-02,7.3632e-03,3.0602e-02
3.8019e-02,7.7466e-03,3.1522e-02
3.9355e-02,8.1487e-03,3.2465e-02
4.0738e-02,8.5701e-03,3.3431e-02
4.2170e-02,9.0118e-03,3.4421e-02
4.3652e-02,9.4746e-03,3.5434e-02
4.5186e-02,9.9592e-03,3.6472e-02
4.6774e-02,1.0467e-02,3.7533e-02
4.8417e-02,1.0998e-02,3.8620e-02
5.0119e-02,1.1554e-02,3.9731e-02
5.1880e-02,1.2135e-02,4.0866e-02
5.3703e-02,1.2743e-02,4.2026e-02
5.5590e-02,1.3379e-02,4.3212e-02
5.7544e-02,1.4043e-02,4.4422e-02
5.9566e-02,1.4736e-02,4.5657e-02
6.1660e-02,1.5461e-02,4.6917e-02
6.3826e-02,1.6217e-02,4.8202e-02
6.6069e-02,1.7006e-02,4.9512e-02
6.8391e-02,1.7829e-02,5.0846e-02
7.0795e-02,1.8686e-02,5.2204e-02
7.3282e-02,1.9580e-02,5.3587e-02
7.5858e-02,2.0512e-02,5.4993e-02
7.8524e-02,2.1481e-02,5.6423e-02
8.1283e-02,2.2490e-02,5.7876e-02
8.4140e-02,2.3540e-02,5.9352e-02
8.7096e-02,2.4631e-02,6.0850e-02
9.0157e-02,2.5766e-02,6.2369e-02
9.3325e-02,2.6944e-02,6.3909e-02
9.6605e-02,2.8168e-02,6.5470e-02
1.0000e-01,2.9437e-02,6.7050e-02
1.0351e-01,3.0754e-02,6.8650e-02
1.0715e-01,3.2120e-02,7.0267e-02
1.1092e-01,3.3534e-02,7.1901e-02
1.1482e-01,3.4999e-02,7.3551e-02
1.1885e-01,3.6515e-02,7.5217e-02
1.2303e-01,3.8083e-02,7.6896e-02
1.2735e-01,3.9705e-02,7.8589e-02
1.3183e-01,4.1380e-02,8.0293e-02
1.3646e-01,4.3110e-02,8.2008e-02
1.4125e-01,4.4895e-02,8.3732e-02
1.4622e-01,4.6737e-02,8.5464e-02
1.5136e-01,4.8635e-02,8.7203e-02
1.5668e-01,5.0590e-02,8.8947e-02
1.6218e-01,5.2604e-02,9.0694e-02
1.6788e-01,5.4675e-02,9.2443e-02
1.7378e-01,5.6805e-02,9.4194e-02
1.7989e-01,5.8993e-02,9.5943e-02
1.8621e-01,6.1241e-02,9.7689e-02
1.9275e-01,6.3548e-02,9.9432e-02
1.9953e-01,6.5913e-02,1.0117e-01
2.0654e-01,6.8338e-02,1.0290e-01
2.1380e-01,7.0822e-02,1.0462e-01
2.2131e-01,7.3364e-02,1.0633e-01
2.2909e-01,7.5965e-02,1.0802e-01
2.3714e-01,7.8624e-02,1.0971e-01
2.4547e-01,8.1340e-02,1.1138e-01
2.5410e-01,8.4113e-02,1.1303e-01
2.6303e-01,8.6942e-02,1.1466e-01
2.7227e-01,8.9827e-02,1.1627e-01
2.8184e-01,9.2766e-02,1.1786e-01
2.9174e-01,9.5759e-02,1.1942e-01
3.0200e-01,9.8805e-02,1.2096e-01
3.1261e-01,1.0190e-01,1.2248e-01
3.2359e-01,1.0505e-01,1.2396e-01
3.3497e-01,1.0825e-01,1.2542e-01
3.4674e-01,1.1149e-01,1.2685e-01
3.5892e-01,1.1479e-01,1.2824e-01
3.7154e-01,1.1812e-01,1.2961e-01
3.8459e-01,1.2151e-01,1.3094e-01
3.9811e-01,1.2493e-01,1.3223e-01
4.1210e-01,1.2840e-01,1.3349e-01
4.2658e-01,1.3190e-01,1.3471e-01
4.4157e-01,1.3544e-01,1.3590e-01
4.5709e-01,1.3902e-01,1.3705e-01
4.7315e-01,1.4264e-01,1.3816e-01
4.8978e-01,1.4628e-01,1.3923e-01
5.0699e-01,1.4996e-01,1.4026e-01
5.2481e-01,1.5367e-01,1.4125e-01
5.4325e-01,1.5740e-01,1.4220e-01
5.6234e-01,1.6116e-01,1.4311e-01
5.8210e-01,1.6495e-01,1.4398e-01
6.0256e-01,1.6876e-01,1.4481e-01
6.2373e-01,1.7258e-01,1.4560e-01
6.4565e-01,1.7643e-01,1.4635e-01
6.6834e-01,1.8030e-01,1.4706e-01
6.9183e-01,1.8418e-01,1.4772e-01
7.1614e-01,1.8808e-01,1.4835e-01
7.4131e-01,1.9199e-01,1.4894e-01
7.6736e-01,1.9591e-01,1.4949e-01
7.9433e-01,1.9984e-01,1.4999e-01
8.2224e-01,2.0379e-01,1.5047e-01
8.5114e-01,2.0773e-01,1.5090e-01
8.8105e-01,2.1169e-01,1.5129e-01
9.1201e-01,2.1565e-01,1.5165e-01
9.4406e-01,2.1961e-01,1.5197e-01
9.7724e-01,2.2357e-01,1.5226e-01
1.0116e+00,2.2754e-01,1.5251e-01
1.0471e+00,2.3150e-01,1.5272e-01
1.0839e+00,2.3546e-01,1.5291e-01
1.1220e+00,2.3943e-01,1.5306e-01
1.1614e+00,2.4338e-01,1.5317e-01
1.2023e+00,2.4734e-01,1.5326e-01
1.2445e+00,2.5128e-01,1.5331e-01
1.2882e+00,2.5522e-01,1.5334e-01
1.3335e+00,2.5916e-01,1.5334e-01
1.3804e+00,2.6309e-01,1.5330e-01
1.4289e+00,2.6700e-01,1.5324e-01
1.4791e+00,2.7091e-01,1.5316e-01
1.5311e+00,2.7481e-01,1.5305e-01
1.5849e+00,2.7870e-01,1.5291e-01
1.6406e+00,2.8258e-01,1.5275e-01
1.6982e+00,2.8644e-01,1.5256e-01
1.7579e+00,2.9029e-01,1.5236e-01
1.8197e+00,2.9413e-01,1.5213e-01
1.8836e+00,2.9796e-01,1.5188e-01
1.9498e+00,3.0177e-01,1.5161e-01
2.0184e+00,3.0557e-01,1.5132e-01
2.0893e+00,3.0936e-01,1.5101e-01
2.1627e+00,3.1313e-01,1.5068e-01
2.2387e+00,3.1688e-01,1.5034e-01
2.3174e+00,3.2063e-01,1.4998e-01
2.3988e+00,3.2435e-01,1.4960e-01
2.4831e+00,3.2806e-01,1.4921e-01
2.5704e+00,3.3175e-01,1.4880e-01
2.6607e+00,3.3543e-01,1.4838e-01
2.7542e+00,3.3909e-01,1.4794e-01
2.8510e+00,3.4273e-01,1.4749e-01
2.9512e+00,3.4636e-01,1.4703e-01
3.0549e+00,3.4997e-01,1.4656e-01
3.1623e+00,3.5356e-01,1.4608e-01
3.2734e+00,3.5714e-01,1.4558e-01
3.3884e+00,3.6070e-01,1.4508e-01
3.5075e+00,3.6424e-01,1.4456e-01
3.6308e+00,3.6777e-01,1.4404e-01
3.7584e+00,3.7127e-01,1.4351e-01
3.8905e+00,3.7477e-01,1.4297e-01
4.0272e+00,3.7824e-01,1.4242e-01
4.1687e+00,3.8169e-01,1.4186e-01
4.3152e+00,3.8513e-01,1.4130e-01
4.4668e+00,3.8855e-01,1.4073e-01
4.6238e+00,3.9196e-01,1.4015e-01
4.7863e+00,3.9534e-01,1.3957e-01
4.9545e+00,3.9871e-01,1.3898e-01
5.1286e+00,4.0206e-01,1.3839e-01
5.3088e+00,4.0540e-01,1.3779e-01
5.4954e+00,4.0871e-01,1.3719e-01
5.6885e+00,4.1201e-01,1.3658e-01
5.8884e+00,4.1529e-01,1.3597e-01
6.0954e+00,4.1856e-01,1.3535e-01
6.3096e+00,4.2181e-01,1.3473e-01
6.5313e+00,4.2504e-01,1.3411e-01
6.7608e+00,4.2825e-01,1.3349e-01
6.9984e+00,4.3144e-01,1.3286e-01
7.2444e+00,4.3462e-01,1.3223e-01
7.4989e+00,4.3778e-01,1.3160e-01
7.7625e+00,4.4093e-01,1.3096e-01
8.0353e+00,4.4406e-01,1.3033e-01
8.3176e+00,4.4717e-01,1.2969e-01
8.6099e+00,4.5026e-01,1.2905e-01
8.9125e+00,4.5334e-01,1.2841e-01
9.2257e+00,4.5640e-01,1.2776e-01
9.5499e+00,4.5944e-01,1.2712e-01
9.8855e+00,4.6246e-01,1.2647e-01
1.0233e+01,4.6547e-01,1.2583e-01
1.0593e+01,4.6847e-01,1.2518e-01
1.0965e+01,4.7144e-01,1.2454e-01
1.1350e+01,4.7440e-01,1.2389e-01
1.1749e+01,4.7735e-01,1.2324e-01
1.2162e+01,4.8027e-01,1.2260e-01
1.2589e+01,4.8318e-01,1.2195e-01
1.3032e+01,4.8608e-01,1.2130e-01
1.3490e+01,4.8895e-01,1.2066e-01
1.3964e+01,4.9182e-01,1.2001e-01
1.4454e+01,4.9466e-01,1.1937e-01
1.4962e+01,4.9749e-01,1.1872e-01
1.5488e+01,5.0030e-01,1.1808e-01
1.6032e+01,5.0310e-01,1.1743e-01
1.6596e+01,5.0588e-01,1.1679e-01
1.7179e+01,5.0865e-01,1.1615e-01
1.7783e+01,5.1139e-01,1.1551e-01
1.8408e+01,5.1413e-01,1.1487e-01
1.9055e+01,5.1685e-01,1.1423e-01
1.9724e+01,5.1955e-01,1.1360e-01
2.0417e+01,5.2223e-01,1.1296e-01
2.1135e+01,5.2490e-01,1.1233e-01
2.1878e+01,5.2756e-01,1.1170e-01
2.2646e+01,5.3020e-01,1.1107e-01
2.3442e+01,5.3282e-01,1.1044e-01
2.4266e+01,5.3543e-01,1.0981e-01
2.5119e+01,5.3802e-01,1.0919e-01
2.6002e+01,5.4060e-01,1.0856e-01
2.6915e+01,5.4316e-01,1.0794e-01
2.7861e+01,5.4570e-01,1.0732e-01
2.8840e+01,5.4824e-01,1.0671e-01
2.9854e+01,5.5075e-01,1.0609e-01
3.0903e+01,5.5325e-01,1.0548e-01
3.1989e+01,5.5574e-01,1.0487e-01
3.3113e+01,5.5821e-01,1.0426e-01
3.4277e+01,5.6067e-01,1.0366e-01
3.5481e+01,5.6311e-01,1.0305e-01
3.6728e+01,5.6553e-01,1.0245e-01
3.8019e+01,5.6794e-01,1.0185e-01
3.9355e+01,5.7034e-01,1.0126e-01
4.0738e+01,5.7272e-01,1.0067e-01
4.2170e+01,5.7509e-01,1.0008e-01
4.3652e+01,5.7745e-01,9.9488e-02
4.5186e+01,5.7978e-01,9.8903e-02
4.6774e+01,5.8211e-01,9.8320e-02
4.8417e+01,5.8442e-01,9.7741e-02
5.0119e+01,5.8672e-01,9.7164e-02
5.1880e+01,5.8900e-01,9.6590e-02
5.3703e+01,5.9126e-01,9.6020e-02
5.5590e+01,5.9352e-01,9.5452e-02
5.7544e+01,5.9576e-01,9.4887e-02
5.9566e+01,5.9798e-01,9.4325e-02
6.1660e+01,6.0020e-01,9.3766e-02
6.3826e+01,6.0239e-01,9.3210e-02
6.6069e+01,6.0458e-01,9.2657e-02
6.8391e+01,6.0675e-01,9.2108e-02
7.0795e+01,6.0891e-01,9.1562e-02
7.3282e+01,6.1105e-01,9.1019e-02
7.5858e+01,6.1318e-01,9.0479e-02
7.8524e+01,6.1530e-01,8.9942e-02
8.1283e+01,6.1740e-01,8.9409e-02
8.4140e+01,6.1950e-01,8.8879e-02
8.7096e+01,6.2157e-01,8.8352e-02
9.0157e+01,6.2364e-01,8.7829e-02
9.3325e+01,6.2569e-01,8.7309e-02
9.6605e+01,6.2773e-01,8.6792e-02
1.0000e+02,6.2976e-01,8.6279e-02
1.0351e+02,6.3177e-01,8.5770e-02
1.0715e+02,6.3377e-01,8.5263e-02
1.1092e+02,6.3576e-01,8.4761e-02
1.1482e+02,6.3774e-01,8.4261e-02
1.1885e+02,6.3970e-01,8.3766e-02
1.2303e+02,6.4165e-01,8.3274e-02
1.2735e+02,6.4359e-01,8.2785e-02
1.3183e+02,6.4552e-01,8.2300e-02
1.3646e+02,6.4744e-01,8.1819e-02
1.4125e+02,6.4934e-01,8.1341e-02
1.4622e+02,6.5123e-01,8.0866e-02
1.5136e+02,6.5311e-01,8.0396e-02
1.5668e+02,6.5498e-01,7.9929e-02
1.6218e+02,6.5684e-01,7.9465e-02
1.6788e+02,6.5868e-01,7.9006e-02
1.7378e+02,6.6052e-01,7.8549e-02
1.7989e+02,6.6234e-01,7.8097e-02
1.8621e+02,6.6415e-01,7.7648e-02
1.9275e+02,6.6595e-01,7.7203e-02
1.9953e+02,6.6774e-01,7.6761e-02
2.0654e+02,6.6952e-01,7.6324e-02
2.1380e+02,6.7129e-01,7.5889e-02
2.2131e+02,6.7305e-01,7.5459e-02
2.2909e+02,6.7480e-01,7.5032e-02
2.3714e+02,6.7653e-01,7.4609e-02
