   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8634e-07,9.9652e-05
1.0351e-04,6.2015e-07,1.0315e-04
1.0715e-04,6.5592e-07,1.0676e-04
1.1092e-04,6.9374e-07,1.1051e-04
1.1482e-04,7.3375e-07,1.1438e-04
1.1885e-04,7.7606e-07,1.1839e-04
1.2303e-04,8.2082e-07,1.2254e-04
1.2735e-04,8.6815e-07,1.2684e-04
1.3183e-04,9.1822e-07,1.3128e-04
1.3646e-04,9.7117e-07,1.3588e-04
1.4125e-04,1.0272e-06,1.4064e-04
1.4622e-04,1.0864e-06,1.4557e-04
1.5136e-04,1.1491e-06,1.5067e-04
1.5668e-04,1.2153e-06,1.5595e-04
1.6218e-04,1.2854e-06,1.6142e-04
1.6788e-04,1.3595e-06,1.6707e-04
1.7378e-04,1.4379e-06,1.7293e-04
1.7989e-04,1.5209e-06,1.7898e-04
1.8621e-04,1.6086e-06,1.8525e-04
1.9275e-04,1.7013e-06,1.9174e-04
1.9953e-04,1.7994e-06,1.9846e-04
2.0654e-04,1.9032e-06,2.0541e-04
2.1380e-04,2.0129e-06,2.1260e-04
2.2131e-04,2.1290e-06,2.2005e-04
2.2909e-04,2.2518e-06,2.2775e-04
2.3714e-04,2.3816e-06,2.3572e-04
2.4547e-04,2.5189e-06,2.4397e-04
2.5410e-04,2.6642e-06,2.5251e-04
2.6303e-04,2.8178e-06,2.6135e-04
2.7227e-04,2.9802e-06,2.7050e-04
2.8184e-04,3.1520e-06,2.7996e-04
2.9174e-04,3.3338e-06,2.8976e-04
3.0200e-04,3.5260e-06,2.9990e-04
3.1261e-04,3.7292e-06,3.1039e-04
3.2359e-04,3.9442e-06,3.2125e-04
3.3497e-04,4.1716e-06,3.3248e-04
3.4674e-04,4.4121e-06,3.4411e-04
3.5892e-04,4.6664e-06,3.5614e-04
3.7154e-04,4.9354e-06,3.6860e-04
3.8459e-04,5.2199e-06,3.8148e-04
3.9811e-04,5.5207e-06,3.9482e-04
4.1210e-04,5.8389e-06,4.0862e-04
4.2658e-04,6.1754e-06,4.2290e-04
4.4157e-04,6.5313e-06,4.3768e-04
4.5709e-04,6.9077e-06,4.5297e-04
4.7315e-04,7.3058e-06,4.6879e-04
4.8978e-04,7.7267e-06,4.8517e-04
5.0699e-04,8.1719e-06,5.0211e-04
5.2481e-04,8.6428e-06,5.1965e-04
5.4325e-04,9.1407e-06,5.3779e-04
5.6234e-04,9.6673e-06,5.5656e-04
5.8210e-04,1.0224e-05,5.7599e-04
6.0256e-04,1.0813e-05,5.9609e-04
6.2373e-04,1.1436e-05,6.1689e-04
6.4565e-04,1.2095e-05,6.3841e-04
6.6834e-04,1.2791e-05,6.6068e-04
6.9183e-04,1.3528e-05,6.8373e-04
