   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8942e-07,9.9652e-05
1.0351e-04,6.2345e-07,1.0315e-04
1.0715e-04,6.5945e-07,1.0676e-04
1.1092e-04,6.9753e-07,1.1051e-04
1.1482e-04,7.3781e-07,1.1438e-04
1.1885e-04,7.8041e-07,1.1839e-04
1.2303e-04,8.2548e-07,1.2254e-04
1.2735e-04,8.7314e-07,1.2684e-04
1.3183e-04,9.2356e-07,1.3128e-04
1.3646e-04,9.7690e-07,1.3588e-04
1.4125e-04,1.0333e-06,1.4064e-04
1.4622e-04,1.0930e-06,1.4557e-04
1.5136e-04,1.1561e-06,1.5067e-04
1.5668e-04,1.2229e-06,1.5595e-04
1.6218e-04,1.2935e-06,1.6142e-04
1.6788e-04,1.3682e-06,1.6707e-04
1.7378e-04,1.4472e-06,1.7293e-04
1.7989e-04,1.5308e-06,1.7898e-04
1.8621e-04,1.6192e-06,1.8525e-04
1.9275e-04,1.7127e-06,1.9174e-04
1.9953e-04,1.8116e-06,1.9846e-04
2.0654e-04,1.9163e-06,2.0541e-04
2.1380e-04,2.0269e-06,2.1260e-04
2.2131e-04,2.1440e-06,2.2004e-04
2.2909e-04,2.2678e-06,2.2775e-04
2.3714e-04,2.3988e-06,2.3572e-04
2.4547e-04,2.5373e-06,2.4397e-04
2.5410e-04,2.6839e-06,2.5251e-04
2.6303e-04,2.8389e-06,2.6135e-04
2.7227e-04,3.0029e-06,2.7050e-04
2.8184e-04,3.1763e-06,2.7996e-04
2.9174e-04,3.3598e-06,2.8976e-04
3.0200e-04,3.5538e-06,2.9990e-04
3.1261e-04,3.7591e-06,3.1039e-04
3.2359e-04,3.9762e-06,3.2125e-04
3.3497e-04,4.2058e-06,3.3248e-04
3.4674e-04,4.4487e-06,3.4411e-04
3.5892e-04,4.7056e-06,3.5614e-04
3.7154e-04,4.9774e-06,3.6859e-04
3.8459e-04,5.2649e-06,3.8148e-04
3.9811e-04,5.5689e-06,3.9482e-04
4.1210e-04,5.8905e-06,4.0862e-04
4.2658e-04,6.2307e-06,4.2290e-04
4.4157e-04,6.5905e-06,4.3767e-04
4.5709e-04,6.9711e-06,4.5297e-04
4.7315e-04,7.3737e-06,4.6879e-04
4.8978e-04,7.7995e-06,4.8516e-04
5.0699e-04,8.2498e-06,5.0211e-04
5.2481e-04,8.7262e-06,5.1964e-04
5.4325e-04,9.2301e-06,5.3779e-04
5.6234e-04,9.7630e-06,5.5656e-04
5.8210e-04,1.0327e-05,5.7599e-04
6.0256e-04,1.0923e-05,5.9609e-04
6.2373e-04,1.1553e-05,6.1689e-04
6.4565e-04,1.2220e-05,6.3841e-04
6.6834e-04,1.2926e-05,6.6068e-04
6.9183e-04,1.3672e-05,6.8372e-04
7.1614e-04,1.4461e-05,7.0756e-04
7.4131e-04,1.5296e-05,7.3223e-04
7.6736e-04,1.6179e-05,7.5775e-04
7.9433e-04,1.7112e-05,7.8416e-04
8.2224e-04,1.8100e-05,8.1148e-04
8.5114e-04,1.9144e-05,8.3975e-04
8.8105e-04,2.0249e-05,8.6900e-04
9.1201e-04,2.1417e-05,8.9926e-04
9.4406e-04,2.2653e-05,9.3057e-04
9.7724e-04,2.3959e-05,9.6296e-04
1.0116e-03,2.5341e-05,9.9647e-04
1.0471e-03,2.6803e-05,1.0311e-03
1.0839e-03,2.8349e-05,1.0670e-03
1.1220e-03,2.9984e-05,1.1041e-03
1.1614e-03,3.1712e-05,1.1425e-03
1.2023e-03,3.3541e-05,1.1822e-03
1.2445e-03,3.5474e-05,1.2233e-03
1.2882e-03,3.7519e-05,1.2658e-03
1.3335e-03,3.9682e-05,1.3098e-03
1.3804e-03,4.1968e-05,1.3552e-03
1.4289e-03,4.4386e-05,1.4023e-03
1.4791e-03,4.6944e-05,1.4509e-03
1.5311e-03,4.9648e-05,1.5013e-03
1.5849e-03,5.2507e-05,1.5533e-03
1.6406e-03,5.5531e-05,1.6072e-03
1.6982e-03,5.8728e-05,1.6629e-03
1.7579e-03,6.2109e-05,1.7205e-03
1.8197e-03,6.5684e-05,1.7801e-03
1.8836e-03,6.9464e-05,1.8417e-03
1.9498e-03,7.3461e-05,1.9054e-03
2.0184e-03,7.7687e-05,1.9714e-03
2.0893e-03,8.2156e-05,2.0395e-03
2.1627e-03,8.6880e-05,2.1100e-03
2.2387e-03,9.1875e-05,2.1829e-03
2.3174e-03,9.7156e-05,2.2584e-03
2.3988e-03,1.0274e-04,2.3363e-03
2.4831e-03,1.0864e-04,2.4170e-03
2.5704e-03,1.1488e-04,2.5003e-03
2.6607e-03,1.2148e-04,2.5865e-03
2.7542e-03,1.2845e-04,2.6757e-03
2.8510e-03,1.3582e-04,2.7678e-03
2.9512e-03,1.4362e-04,2.8631e-03
3.0549e-03,1.5186e-04,2.9617e-03
3.1623e-03,1.6056e-04,3.0635e-03
3.2734e-03,1.6977e-04,3.1688e-03
3.3884e-03,1.7950e-04,3.2777e-03
3.5075e-03,1.8978e-04,3.3903e-03
3.6308e-03,2.0065e-04,3.5066e-03
3.7584e-03,2.1213e-04,3.6269e-03
3.8905e-03,2.2427e-04,3.7512e-03
4.0272e-03,2.3710e-04,3.8796e-03
4.1687e-03,2.5066e-04,4.0124e-03
4.3152e-03,2.6498e-04,4.1497e-03
4.4668e-03,2.8012e-04,4.2915e-03
4.6238e-03,2.9612e-04,4.4381e-03
4.7863e-03,3.1302e-04,4.5896e-03
4.9545e-03,3.3087e-04,4.7462e-03
5.1286e-03,3.4974e-04,4.9079e-03
5.3088e-03,3.6967e-04,5.0750e-03
5.4954e-03,3.9073e-04,5.2477e-03
5.6885e-03,4.1297e-04,5.4261e-03
5.8884e-03,4.3647e-04,5.6104e-03
6.0954e-03,4.6129e-04,5.8008e-03
6.3096e-03,4.8751e-04,5.9975e-03
6.5313e-03,5.1519e-04,6.2006e-03
6.7608e-03,5.4444e-04,6.4104e-03
6.9984e-03,5.7531e-04,6.6271e-03
7.2444e-03,6.0792e-04,6.8509e-03
7.4989e-03,6.4236e-04,7.0820e-03
7.7625e-03,6.7871e-04,7.3206e-03
8.0353e-03,7.1709e-04,7.5669e-03
8.3176e-03,7.5762e-04,7.8213e-03
8.6099e-03,8.0039e-04,8.0839e-03
8.9125e-03,8.4555e-04,8.3549e-03
9.2257e-03,8.9321e-04,8.6347e-03
9.5499e-03,9.4351e-04,8.9235e-03
9.8855e-03,9.9659e-04,9.2215e-03
1.0233e-02,1.0526e-03,9.5290e-03
1.0593e-02,1.1117e-03,9.8463e-03
1.0965e-02,1.1741e-03,1.0174e-02
1.1350e-02,1.2399e-03,1.0511e-02
1.1749e-02,1.3092e-03,1.0860e-02
1.2162e-02,1.3824e-03,1.1219e-02
1.2589e-02,1.4596e-03,1.1590e-02
1.3032e-02,1.5410e-03,1.1972e-02
1.3490e-02,1.6269e-03,1.2366e-02
1.3964e-02,1.7174e-03,1.2772e-02
1.4454e-02,1.8128e-03,1.3191e-02
1.4962e-02,1.9134e-03,1.3622e-02
1.5488e-02,2.0194e-03,1.4067e-02
1.6032e-02,2.1311e-03,1.4525e-02
1.6596e-02,2.2488e-03,1.4997e-02
1.7179e-02,2.3728e-03,1.5484e-02
1.7783e-02,2.5034e-03,1.5985e-02
1.8408e-02,2.6410e-03,1.6501e-02
1.9055e-02,2.7858e-03,1.7032e-02
1.9724e-02,2.9384e-03,1.7579e-02
2.0417e-02,3.0990e-03,1.8141e-02
2.1135e-02,3.2681e-03,1.8721e-02
2.1878e-02,3.4460e-03,1.9317e-02
2.2646e-02,3.6332e-03,1.9930e-02
2.3442e-02,3.8302e-03,2.0561e-02
2.4266e-02,4.0374e-03,2.1209e-02
2.5119e-02,4.2553e-03,2.1876e-02
2.6002e-02,4.4845e-03,2.2561e-02
2.6915e-02,4.7254e-03,2.3265e-02
2.7861e-02,4.9786e-03,2.3989e-02
2.8840e-02,5.2446e-03,2.4732e-02
2.9854e-02,5.5242e-03,2.5496e-02
3.0903e-02,5.8178e-03,2.6279e-02
3.1989e-02,6.1262e-03,2.7084e-02
3.3113e-02,6.4499e-03,2.7909e-02
3.4277e-02,6.7897e-03,2.8756e-02
3.5481e-02,7.1463e-03,2.9625e-02
3.6728e-02,7.5204e-03,3.0515e-02
3.8019e-02,7.9127e-03,3.1428e-02
3.9355e-02,8.3241e-03,3.2363e-02
4.0738e-02,8.7554e-03,3.3320e-02
4.2170e-02,9.2073e-03,3.4301e-02
4.3652e-02,9.6808e-03,3.5305e-02
4.5186e-02,1.0177e-02,3.6332e-02
4.6774e-02,1.0696e-02,3.7383e-02
4.8417e-02,1.1239e-02,3.8457e-02
5.0119e-02,1.1808e-02,3.9555e-02
5.1880e-02,1.2402e-02,4.0677e-02
5.3703e-02,1.3024e-02,4.1822e-02
5.5590e-02,1.3674e-02,4.2992e-02
5.7544e-02,1.4352e-02,4.4185e-02
5.9566e-02,1.5061e-02,4.5402e-02
6.1660e-02,1.5802e-02,4.6642e-02
6.3826e-02,1.6574e-02,4.7906e-02
6.6069e-02,1.7380e-02,4.9194e-02
6.8391e-02,1.8220e-02,5.0504e-02
7.0795e-02,1.9095e-02,5.1837e-02
7.3282e-02,2.0008e-02,5.3193e-02
7.5858e-02,2.0958e-02,5.4570e-02
7.8524e-02,2.1946e-02,5.5969e-02
8.1283e-02,2.2975e-02,5.7390e-02
8.4140e-02,2.4044e-02,5.8831e-02
8.7096e-02,2.5156e-02,6.0291e-02
9.0157e-02,2.6311e-02,6.1772e-02
9.3325e-02,2.7510e-02,6.3270e-02
9.6605e-02,2.8754e-02,6.4787e-02
1.0000e-01,3.0044e-02,6.6321e-02
1.0351e-01,3.1382e-02,6.7871e-02
1.0715e-01,3.2768e-02,6.9436e-02
1.1092e-01,3.4203e-02,7.1015e-02
1.1482e-01,3.5688e-02,7.2607e-02
1.1885e-01,3.7225e-02,7.4211e-02
1.2303e-01,3.8812e-02,7.5827e-02
1.2735e-01,4.0453e-02,7.7451e-02
1.3183e-01,4.2146e-02,7.9084e-02
1.3646e-01,4.3894e-02,8.0725e-02
1.4125e-01,4.5695e-02,8.2370e-02
1.4622e-01,4.7552e-02,8.4020e-02
1.5136e-01,4.9464e-02,8.5673e-02
1.5668e-01,5.1432e-02,8.7327e-02
1.6218e-01,5.3457e-02,8.8980e-02
1.6788e-01,5.5537e-02,9.0632e-02
1.7378e-01,5.7674e-02,9.2281e-02
1.7989e-01,5.9868e-02,9.3924e-02
1.8621e-01,6.2118e-02,9.5561e-02
1.9275e-01,6.4425e-02,9.7189e-02
1.9953e-01,6.6788e-02,9.8807e-02
2.0654e-01,6.9207e-02,1.0041e-01
2.1380e-01,7.1682e-02,1.0201e-01
2.2131e-01,7.4212e-02,1.0359e-01
2.2909e-01,7.6797e-02,1.0515e-01
2.3714e-01,7.9436e-02,1.0669e-01
2.4547e-01,8.2128e-02,1.0822e-01
2.5410e-01,8.4873e-02,1.0972e-01
2.6303e-01,8.7670e-02,1.1120e-01
2.7227e-01,9.0517e-02,1.1265e-01
2.8184e-01,9.3414e-02,1.1408e-01
2.9174e-01,9.6360e-02,1.1549e-01
3.0200e-01,9.9353e-02,1.1686e-01
3.1261e-01,1.0239e-01,1.1820e-01
3.2359e-01,1.0548e-01,1.1952e-01
3.3497e-01,1.0861e-01,1.2080e-01
3.4674e-01,1.1177e-01,1.2205e-01
3.5892e-01,1.1499e-01,1.2326e-01
3.7154e-01,1.1823e-01,1.2444e-01
3.8459e-01,1.2152e-01,1.2558e-01
3.9811e-01,1.2484e-01,1.2669e-01
4.1210e-01,1.2820e-01,1.2776e-01
4.2658e-01,1.3159e-01,1.2879e-01
4.4157e-01,1.3501e-01,1.2978e-01
4.5709e-01,1.3846e-01,1.3073e-01
4.7315e-01,1.4194e-01,1.3165e-01
4.8978e-01,1.4544e-01,1.3252e-01
5.0699e-01,1.4897e-01,1.3335e-01
5.2481e-01,1.5252e-01,1.3415e-01
5.4325e-01,1.5609e-01,1.3490e-01
5.6234e-01,1.5968e-01,1.3561e-01
5.8210e-01,1.6328e-01,1.3628e-01
6.0256e-01,1.6691e-01,1.3692e-01
6.2373e-01,1.7054e-01,1.3751e-01
6.4565e-01,1.7419e-01,1.3806e-01
6.6834e-01,1.7785e-01,1.3857e-01
6.9183e-01,1.8152e-01,1.3905e-01
7.1614e-01,1.8519e-01,1.3948e-01
7.4131e-01,1.8888e-01,1.3988e-01
7.6736e-01,1.9256e-01,1.4024e-01
7.9433e-01,1.9625e-01,1.4057e-01
8.2224e-01,1.9995e-01,1.4085e-01
8.5114e-01,2.0364e-01,1.4111e-01
8.8105e-01,2.0734e-01,1.4132e-01
9.1201e-01,2.1103e-01,1.4151e-01
9.4406e-01,2.1472e-01,1.4165e-01
9.7724e-01,2.1840e-01,1.4177e-01
1.0116e+00,2.2209e-01,1.4186e-01
1.0471e+00,2.2576e-01,1.4191e-01
1.0839e+00,2.2943e-01,1.4193e-01
1.1220e+00,2.3309e-01,1.4193e-01
1.1614e+00,2.3675e-01,1.4189e-01
1.2023e+00,2.4039e-01,1.4183e-01
1.2445e+00,2.4403e-01,1.4174e-01
1.2882e+00,2.4765e-01,1.4163e-01
1.3335e+00,2.5127e-01,1.4149e-01
1.3804e+00,2.5487e-01,1.4132e-01
1.4289e+00,2.5845e-01,1.4113e-01
1.4791e+00,2.6203e-01,1.4092e-01
1.5311e+00,2.6559e-01,1.4069e-01
1.5849e+00,2.6914e-01,1.4044e-01
1.6406e+00,2.7268e-01,1.4016e-01
1.6982e+00,2.7619e-01,1.3987e-01
1.7579e+00,2.7970e-01,1.3956e-01
1.8197e+00,2.8319e-01,1.3923e-01
1.8836e+00,2.8666e-01,1.3888e-01
1.9498e+00,2.9012e-01,1.3852e-01
2.0184e+00,2.9356e-01,1.3814e-01
2.0893e+00,2.9698e-01,1.3775e-01
2.1627e+00,3.0039e-01,1.3734e-01
2.2387e+00,3.0378e-01,1.3692e-01
2.3174e+00,3.0715e-01,1.3649e-01
2.3988e+00,3.1051e-01,1.3604e-01
2.4831e+00,3.1385e-01,1.3559e-01
2.5704e+00,3.1717e-01,1.3512e-01
2.6607e+00,3.2048e-01,1.3464e-01
2.7542e+00,3.2377e-01,1.3415e-01
