   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8690e-07,9.9652e-05
1.0351e-04,6.2076e-07,1.0315e-04
1.0715e-04,6.5656e-07,1.0676e-04
1.1092e-04,6.9443e-07,1.1051e-04
1.1482e-04,7.3449e-07,1.1438e-04
1.1885e-04,7.7686e-07,1.1839e-04
1.2303e-04,8.2167e-07,1.2254e-04
1.2735e-04,8.6906e-07,1.2684e-04
1.3183e-04,9.1919e-07,1.3128e-04
1.3646e-04,9.7222e-07,1.3588e-04
1.4125e-04,1.0283e-06,1.4064e-04
1.4622e-04,1.0876e-06,1.4557e-04
1.5136e-04,1.1503e-06,1.5067e-04
1.5668e-04,1.2167e-06,1.5595e-04
1.6218e-04,1.2869e-06,1.6142e-04
1.6788e-04,1.3611e-06,1.6707e-04
1.7378e-04,1.4396e-06,1.7293e-04
1.7989e-04,1.5227e-06,1.7898e-04
1.8621e-04,1.6105e-06,1.8525e-04
1.9275e-04,1.7034e-06,1.9174e-04
1.9953e-04,1.8016e-06,1.9846e-04
2.0654e-04,1.9056e-06,2.0541e-04
2.1380e-04,2.0155e-06,2.1260e-04
2.2131e-04,2.1317e-06,2.2005e-04
2.2909e-04,2.2547e-06,2.2775e-04
2.3714e-04,2.3847e-06,2.3572e-04
2.4547e-04,2.5223e-06,2.4397e-04
2.5410e-04,2.6678e-06,2.5251e-04
2.6303e-04,2.8216e-06,2.6135e-04
2.7227e-04,2.9844e-06,2.7050e-04
2.8184e-04,3.1565e-06,2.7996e-04
2.9174e-04,3.3385e-06,2.8976e-04
3.0200e-04,3.5311e-06,2.9990e-04
3.1261e-04,3.7347e-06,3.1039e-04
3.2359e-04,3.9501e-06,3.2125e-04
3.3497e-04,4.1779e-06,3.3248e-04
3.4674e-04,4.4188e-06,3.4411e-04
3.5892e-04,4.6736e-06,3.5614e-04
3.7154e-04,4.9431e-06,3.6860e-04
3.8459e-04,5.2281e-06,3.8148e-04
3.9811e-04,5.5295e-06,3.9482e-04
4.1210e-04,5.8483e-06,4.0862e-04
4.2658e-04,6.1855e-06,4.2290e-04
4.4157e-04,6.5421e-06,4.3768e-04
4.5709e-04,6.9193e-06,4.5297e-04
4.7315e-04,7.3182e-06,4.6879e-04
4.8978e-04,7.7400e-06,4.8517e-04
5.0699e-04,8.1862e-06,5.0211e-04
5.2481e-04,8.6580e-06,5.1965e-04
5.4325e-04,9.1570e-06,5.3779e-04
5.6234e-04,9.6848e-06,5.5656e-04
5.8210e-04,1.0243e-05,5.7599e-04
6.0256e-04,1.0833e-05,5.9609e-04
6.2373e-04,1.1457e-05,6.1689e-04
6.4565e-04,1.2118e-05,6.3841e-04
6.6834e-04,1.2816e-05,6.6068e-04
6.9183e-04,1.3554e-05,6.8373e-04
7.1614e-04,1.4335e-05,7.0757e-04
7.4131e-04,1.5161e-05,7.3224e-04
7.6736e-04,1.6034e-05,7.5776e-04
7.9433e-04,1.6957e-05,7.8417e-04
8.2224e-04,1.7934e-05,8.1149e-04
8.5114e-04,1.8967e-05,8.3976e-04
8.8105e-04,2.0059e-05,8.6901e-04
9.1201e-04,2.1213e-05,8.9927e-04
9.4406e-04,2.2435e-05,9.3058e-04
9.7724e-04,2.3726e-05,9.6298e-04
1.0116e-03,2.5092e-05,9.9649e-04
1.0471e-03,2.6536e-05,1.0312e-03
1.0839e-03,2.8062e-05,1.0670e-03
1.1220e-03,2.9677e-05,1.1041e-03
1.1614e-03,3.1384e-05,1.1425e-03
1.2023e-03,3.3189e-05,1.1822e-03
1.2445e-03,3.5098e-05,1.2233e-03
1.2882e-03,3.7116e-05,1.2658e-03
1.3335e-03,3.9251e-05,1.3098e-03
1.3804e-03,4.1507e-05,1.3553e-03
1.4289e-03,4.3893e-05,1.4023e-03
1.4791e-03,4.6415e-05,1.4510e-03
1.5311e-03,4.9082e-05,1.5013e-03
1.5849e-03,5.1902e-05,1.5534e-03
1.6406e-03,5.4883e-05,1.6072e-03
1.6982e-03,5.8035e-05,1.6629e-03
1.7579e-03,6.1367e-05,1.7205e-03
1.8197e-03,6.4890e-05,1.7801e-03
1.8836e-03,6.8614e-05,1.8418e-03
1.9498e-03,7.2552e-05,1.9055e-03
2.0184e-03,7.6714e-05,1.9714e-03
2.0893e-03,8.1114e-05,2.0396e-03
2.1627e-03,8.5766e-05,2.1101e-03
2.2387e-03,9.0682e-05,2.1831e-03
2.3174e-03,9.5880e-05,2.2585e-03
2.3988e-03,1.0137e-04,2.3365e-03
2.4831e-03,1.0718e-04,2.4171e-03
2.5704e-03,1.1332e-04,2.5005e-03
2.6607e-03,1.1981e-04,2.5867e-03
2.7542e-03,1.2666e-04,2.6759e-03
2.8510e-03,1.3391e-04,2.7681e-03
2.9512e-03,1.4157e-04,2.8634e-03
3.0549e-03,1.4967e-04,2.9619e-03
3.1623e-03,1.5822e-04,3.0638e-03
