tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0008893451608120178,0.99751,0.0008871306913615959
9.801527608196231e-12,0.004440449334676392,0.99751,0.004429392615833048
6.03625313418697e-11,0.007630956181412855,0.99751,0.007611955100521137
3.7174156833272376e-10,0.013533430291832802,0.99751,0.013499732050406138
2.2893637972755256e-09,0.02101165448968658,0.99751,0.02095933547000726
1.4099005989224205e-08,0.029751497018695845,0.99751,0.029677415791119294
8.68284761616387e-08,0.038002482173959115,0.99751,0.03790785599334596
5.34731617136253e-07,0.04482811811816347,0.99751,0.04471649610404924
3.2931350981369596e-06,0.050093670613565115,0.99751,0.04996893737373734
2.0280713589862817e-05,0.05575739132192557,0.99751,0.05561855541753398
0.0001252136078152758,0.06604212677328515,0.99751,0.06587768187761966
0.0007691846349332208,0.0837727615624018,0.99751,0.08356416738611143
0.0047370763249815675,0.11590733007111294,0.99751,0.11561872081923587
0.029172790197731956,0.1506023356445397,0.99751,0.1502273358287848
0.17966014869915164,0.22155862528274028,0.99751,0.22100694430578627
1.1064336968250725,0.09549551695982053,0.99751,0.09525773312259057
6.813952142756727,0.0,0.99751,0.0
41.963602374062425,0.000338228582663271,0.99751,0.0003373863934924395
258.4320945195246,0.00026740920450714286,0.99751,0.00026674335558792006
1591.5494309189535,0.0,0.99751,0.0
