   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8967e-07,9.9652e-05
1.0351e-04,6.2372e-07,1.0315e-04
1.0715e-04,6.5974e-07,1.0676e-04
1.1092e-04,6.9784e-07,1.1051e-04
1.1482e-04,7.3813e-07,1.1438e-04
1.1885e-04,7.8076e-07,1.1839e-04
1.2303e-04,8.2585e-07,1.2254e-04
1.2735e-04,8.7354e-07,1.2684e-04
1.3183e-04,9.2399e-07,1.3128e-04
1.3646e-04,9.7736e-07,1.3588e-04
1.4125e-04,1.0338e-06,1.4064e-04
1.4622e-04,1.0935e-06,1.4557e-04
1.5136e-04,1.1567e-06,1.5067e-04
1.5668e-04,1.2235e-06,1.5595e-04
1.6218e-04,1.2941e-06,1.6142e-04
1.6788e-04,1.3689e-06,1.6707e-04
1.7378e-04,1.4479e-06,1.7293e-04
1.7989e-04,1.5316e-06,1.7898e-04
1.8621e-04,1.6200e-06,1.8525e-04
1.9275e-04,1.7136e-06,1.9174e-04
1.9953e-04,1.8126e-06,1.9846e-04
2.0654e-04,1.9173e-06,2.0541e-04
2.1380e-04,2.0280e-06,2.1260e-04
2.2131e-04,2.1452e-06,2.2004e-04
2.2909e-04,2.2691e-06,2.2775e-04
2.3714e-04,2.4002e-06,2.3572e-04
2.4547e-04,2.5388e-06,2.4397e-04
2.5410e-04,2.6855e-06,2.5251e-04
2.6303e-04,2.8406e-06,2.6135e-04
2.7227e-04,3.0047e-06,2.7050e-04
2.8184e-04,3.1782e-06,2.7996e-04
2.9174e-04,3.3618e-06,2.8976e-04
3.0200e-04,3.5560e-06,2.9990e-04
3.1261e-04,3.7614e-06,3.1039e-04
3.2359e-04,3.9787e-06,3.2125e-04
3.3497e-04,4.2085e-06,3.3248e-04
3.4674e-04,4.4516e-06,3.4411e-04
3.5892e-04,4.7088e-06,3.5614e-04
3.7154e-04,4.9808e-06,3.6859e-04
3.8459e-04,5.2685e-06,3.8148e-04
3.9811e-04,5.5728e-06,3.9482e-04
4.1210e-04,5.8947e-06,4.0862e-04
4.2658e-04,6.2351e-06,4.2290e-04
4.4157e-04,6.5952e-06,4.3767e-04
4.5709e-04,6.9762e-06,4.5297e-04
4.7315e-04,7.3791e-06,4.6879e-04
4.8978e-04,7.8053e-06,4.8516e-04
5.0699e-04,8.2560e-06,5.0211e-04
5.2481e-04,8.7328e-06,5.1964e-04
5.4325e-04,9.2371e-06,5.3779e-04
5.6234e-04,9.7706e-06,5.5656e-04
5.8210e-04,1.0335e-05,5.7599e-04
6.0256e-04,1.0932e-05,5.9609e-04
6.2373e-04,1.1563e-05,6.1689e-04
6.4565e-04,1.2230e-05,6.3841e-04
6.6834e-04,1.2937e-05,6.6068e-04
6.9183e-04,1.3683e-05,6.8372e-04
7.1614e-04,1.4473e-05,7.0756e-04
7.4131e-04,1.5309e-05,7.3223e-04
7.6736e-04,1.6193e-05,7.5775e-04
7.9433e-04,1.7127e-05,7.8416e-04
8.2224e-04,1.8116e-05,8.1148e-04
8.5114e-04,1.9161e-05,8.3975e-04
8.8105e-04,2.0267e-05,8.6900e-04
9.1201e-04,2.1437e-05,8.9926e-04
9.4406e-04,2.2674e-05,9.3057e-04
9.7724e-04,2.3982e-05,9.6296e-04
1.0116e-03,2.5365e-05,9.9647e-04
1.0471e-03,2.6829e-05,1.0311e-03
1.0839e-03,2.8376e-05,1.0670e-03
1.1220e-03,3.0013e-05,1.1041e-03
1.1614e-03,3.1744e-05,1.1425e-03
1.2023e-03,3.3575e-05,1.1822e-03
1.2445e-03,3.5510e-05,1.2233e-03
1.2882e-03,3.7558e-05,1.2658e-03
1.3335e-03,3.9723e-05,1.3097e-03
1.3804e-03,4.2012e-05,1.3552e-03
1.4289e-03,4.4434e-05,1.4023e-03
1.4791e-03,4.6994e-05,1.4509e-03
1.5311e-03,4.9702e-05,1.5013e-03
1.5849e-03,5.2565e-05,1.5533e-03
1.6406e-03,5.5593e-05,1.6072e-03
1.6982e-03,5.8795e-05,1.6629e-03
1.7579e-03,6.2180e-05,1.7205e-03
1.8197e-03,6.5760e-05,1.7801e-03
1.8836e-03,6.9545e-05,1.8417e-03
1.9498e-03,7.3548e-05,1.9054e-03
2.0184e-03,7.7780e-05,1.9713e-03
2.0893e-03,8.2255e-05,2.0395e-03
2.1627e-03,8.6986e-05,2.1100e-03
2.2387e-03,9.1988e-05,2.1829e-03
2.3174e-03,9.7277e-05,2.2583e-03
2.3988e-03,1.0287e-04,2.3363e-03
2.4831e-03,1.0878e-04,2.4169e-03
2.5704e-03,1.1503e-04,2.5003e-03
2.6607e-03,1.2164e-04,2.5865e-03
2.7542e-03,1.2862e-04,2.6757e-03
2.8510e-03,1.3601e-04,2.7678e-03
2.9512e-03,1.4381e-04,2.8631e-03
3.0549e-03,1.5206e-04,2.9616e-03
3.1623e-03,1.6078e-04,3.0635e-03
3.2734e-03,1.7000e-04,3.1688e-03
3.3884e-03,1.7975e-04,3.2777e-03
3.5075e-03,1.9005e-04,3.3902e-03
