   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
9.2257e-03,8.9090e-04,8.6353e-03
9.5499e-03,9.4105e-04,8.9241e-03
9.8855e-03,9.9397e-04,9.2222e-03
1.0233e-02,1.0498e-03,9.5298e-03
1.0593e-02,1.1087e-03,9.8471e-03
1.0965e-02,1.1709e-03,1.0175e-02
1.1350e-02,1.2365e-03,1.0512e-02
1.1749e-02,1.3057e-03,1.0861e-02
1.2162e-02,1.3786e-03,1.1220e-02
1.2589e-02,1.4556e-03,1.1591e-02
1.3032e-02,1.5367e-03,1.1973e-02
1.3490e-02,1.6223e-03,1.2367e-02
1.3964e-02,1.7125e-03,1.2774e-02
1.4454e-02,1.8076e-03,1.3192e-02
1.4962e-02,1.9078e-03,1.3624e-02
1.5488e-02,2.0134e-03,1.4069e-02
1.6032e-02,2.1247e-03,1.4527e-02
1.6596e-02,2.2420e-03,1.5000e-02
1.7179e-02,2.3656e-03,1.5486e-02
1.7783e-02,2.4958e-03,1.5988e-02
1.8408e-02,2.6329e-03,1.6504e-02
1.9055e-02,2.7773e-03,1.7035e-02
1.9724e-02,2.9293e-03,1.7582e-02
2.0417e-02,3.0894e-03,1.8145e-02
2.1135e-02,3.2578e-03,1.8725e-02
2.1878e-02,3.4351e-03,1.9321e-02
2.2646e-02,3.6217e-03,1.9935e-02
2.3442e-02,3.8180e-03,2.0566e-02
2.4266e-02,4.0244e-03,2.1215e-02
2.5119e-02,4.2416e-03,2.1882e-02
2.6002e-02,4.4699e-03,2.2568e-02
2.6915e-02,4.7099e-03,2.3273e-02
2.7861e-02,4.9622e-03,2.3997e-02
2.8840e-02,5.2273e-03,2.4741e-02
2.9854e-02,5.5058e-03,2.5505e-02
3.0903e-02,5.7984e-03,2.6290e-02
3.1989e-02,6.1056e-03,2.7095e-02
3.3113e-02,6.4282e-03,2.7921e-02
3.4277e-02,6.7667e-03,2.8769e-02
3.5481e-02,7.1220e-03,2.9639e-02
3.6728e-02,7.4948e-03,3.0530e-02
3.8019e-02,7.8857e-03,3.1444e-02
3.9355e-02,8.2956e-03,3.2380e-02
4.0738e-02,8.7253e-03,3.3340e-02
4.2170e-02,9.1756e-03,3.4322e-02
4.3652e-02,9.6474e-03,3.5327e-02
4.5186e-02,1.0141e-02,3.6356e-02
4.6774e-02,1.0659e-02,3.7409e-02
4.8417e-02,1.1200e-02,3.8485e-02
5.0119e-02,1.1767e-02,3.9585e-02
5.1880e-02,1.2359e-02,4.0709e-02
5.3703e-02,1.2979e-02,4.1858e-02
5.5590e-02,1.3626e-02,4.3030e-02
5.7544e-02,1.4303e-02,4.4226e-02
5.9566e-02,1.5010e-02,4.5446e-02
6.1660e-02,1.5747e-02,4.6690e-02
6.3826e-02,1.6517e-02,4.7957e-02
6.6069e-02,1.7320e-02,4.9248e-02
6.8391e-02,1.8158e-02,5.0562e-02
7.0795e-02,1.9031e-02,5.1900e-02
7.3282e-02,1.9940e-02,5.3260e-02
7.5858e-02,2.0887e-02,5.4642e-02
7.8524e-02,2.1873e-02,5.6046e-02
8.1283e-02,2.2899e-02,5.7472e-02
8.4140e-02,2.3966e-02,5.8919e-02
8.7096e-02,2.5074e-02,6.0386e-02
9.0157e-02,2.6226e-02,6.1872e-02
9.3325e-02,2.7422e-02,6.3378e-02
9.6605e-02,2.8663e-02,6.4902e-02
1.0000e-01,2.9951e-02,6.6443e-02
1.0351e-01,3.1286e-02,6.8001e-02
1.0715e-01,3.2669e-02,6.9575e-02
1.1092e-01,3.4101e-02,7.1163e-02
1.1482e-01,3.5584e-02,7.2764e-02
1.1885e-01,3.7117e-02,7.4379e-02
1.2303e-01,3.8702e-02,7.6004e-02
1.2735e-01,4.0340e-02,7.7640e-02
1.3183e-01,4.2031e-02,7.9285e-02
1.3646e-01,4.3777e-02,8.0937e-02
1.4125e-01,4.5577e-02,8.2595e-02
1.4622e-01,4.7432e-02,8.4258e-02
1.5136e-01,4.9343e-02,8.5924e-02
1.5668e-01,5.1309e-02,8.7592e-02
1.6218e-01,5.3333e-02,8.9261e-02
1.6788e-01,5.5413e-02,9.0928e-02
1.7378e-01,5.7550e-02,9.2593e-02
1.7989e-01,5.9743e-02,9.4253e-02
1.8621e-01,6.1994e-02,9.5906e-02
1.9275e-01,6.4302e-02,9.7553e-02
1.9953e-01,6.6667e-02,9.9189e-02
2.0654e-01,6.9088e-02,1.0081e-01
2.1380e-01,7.1565e-02,1.0243e-01
2.2131e-01,7.4099e-02,1.0403e-01
2.2909e-01,7.6687e-02,1.0561e-01
2.3714e-01,7.9331e-02,1.0717e-01
2.4547e-01,8.2028e-02,1.0872e-01
2.5410e-01,8.4779e-02,1.1025e-01
2.6303e-01,8.7582e-02,1.1175e-01
2.7227e-01,9.0437e-02,1.1323e-01
2.8184e-01,9.3342e-02,1.1468e-01
2.9174e-01,9.6297e-02,1.1611e-01
3.0200e-01,9.9300e-02,1.1751e-01
3.1261e-01,1.0235e-01,1.1888e-01
3.2359e-01,1.0545e-01,1.2022e-01
3.3497e-01,1.0859e-01,1.2152e-01
3.4674e-01,1.1177e-01,1.2280e-01
3.5892e-01,1.1499e-01,1.2404e-01
