   f   ,G_stor ,G_loss 
  Hz   ,  GPa  ,  GPa  
1.0000e-04,5.8574e-07,9.9652e-05
1.0351e-04,6.1951e-07,1.0315e-04
1.0715e-04,6.5523e-07,1.0676e-04
1.1092e-04,6.9301e-07,1.1051e-04
1.1482e-04,7.3296e-07,1.1438e-04
1.1885e-04,7.7522e-07,1.1839e-04
1.2303e-04,8.1992e-07,1.2254e-04
1.2735e-04,8.6719e-07,1.2684e-04
1.3183e-04,9.1718e-07,1.3128e-04
1.3646e-04,9.7006e-07,1.3588e-04
1.4125e-04,1.0260e-06,1.4064e-04
1.4622e-04,1.0851e-06,1.4557e-04
1.5136e-04,1.1477e-06,1.5067e-04
1.5668e-04,1.2139e-06,1.5595e-04
1.6218e-04,1.2838e-06,1.6142e-04
1.6788e-04,1.3579e-06,1.6707e-04
1.7378e-04,1.4361e-06,1.7293e-04
1.7989e-04,1.5189e-06,1.7898e-04
1.8621e-04,1.6065e-06,1.8525e-04
1.9275e-04,1.6991e-06,1.9174e-04
1.9953e-04,1.7971e-06,1.9846e-04
2.0654e-04,1.9006e-06,2.0541e-04
2.1380e-04,2.0102e-06,2.1260e-04
2.2131e-04,2.1261e-06,2.2005e-04
2.2909e-04,2.2486e-06,2.2775e-04
2.3714e-04,2.3783e-06,2.3572e-04
2.4547e-04,2.5153e-06,2.4397e-04
2.5410e-04,2.6603e-06,2.5251e-04
2.6303e-04,2.8137e-06,2.6135e-04
2.7227e-04,2.9758e-06,2.7050e-04
2.8184e-04,3.1473e-06,2.7996e-04
2.9174e-04,3.3287e-06,2.8976e-04
3.0200e-04,3.5206e-06,2.9990e-04
3.1261e-04,3.7235e-06,3.1039e-04
3.2359e-04,3.9380e-06,3.2125e-04
3.3497e-04,4.1650e-06,3.3248e-04
3.4674e-04,4.4050e-06,3.4411e-04
3.5892e-04,4.6588e-06,3.5614e-04
3.7154e-04,4.9272e-06,3.6860e-04
3.8459e-04,5.2111e-06,3.8148e-04
3.9811e-04,5.5114e-06,3.9482e-04
4.1210e-04,5.8289e-06,4.0862e-04
4.2658e-04,6.1647e-06,4.2290e-04
4.4157e-04,6.5198e-06,4.3768e-04
4.5709e-04,6.8954e-06,4.5297e-04
4.7315e-04,7.2925e-06,4.6879e-04
4.8978e-04,7.7126e-06,4.8517e-04
5.0699e-04,8.1568e-06,5.0211e-04
5.2481e-04,8.6265e-06,5.1965e-04
5.4325e-04,9.1233e-06,5.3779e-04
5.6234e-04,9.6487e-06,5.5656e-04
5.8210e-04,1.0204e-05,5.7599e-04
6.0256e-04,1.0792e-05,5.9609e-04
6.2373e-04,1.1413e-05,6.1689e-04
6.4565e-04,1.2070e-05,6.3842e-04
6.6834e-04,1.2765e-05,6.6069e-04
6.9183e-04,1.3500e-05,6.8373e-04
7.1614e-04,1.4277e-05,7.0757e-04
7.4131e-04,1.5098e-05,7.3224e-04
7.6736e-04,1.5967e-05,7.5776e-04
7.9433e-04,1.6886e-05,7.8417e-04
8.2224e-04,1.7857e-05,8.1150e-04
8.5114e-04,1.8884e-05,8.3977e-04
8.8105e-04,1.9971e-05,8.6902e-04
9.1201e-04,2.1119e-05,8.9928e-04
9.4406e-04,2.2334e-05,9.3059e-04
9.7724e-04,2.3618e-05,9.6298e-04
1.0116e-03,2.4976e-05,9.9649e-04
1.0471e-03,2.6412e-05,1.0312e-03
1.0839e-03,2.7930e-05,1.0670e-03
1.1220e-03,2.9535e-05,1.1041e-03
1.1614e-03,3.1232e-05,1.1425e-03
1.2023e-03,3.3027e-05,1.1822e-03
1.2445e-03,3.4924e-05,1.2233e-03
