tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.00013185864186976,0.99986,0.00013184018165989824
9.801528319176747e-12,0.000292298699680055,0.99986,0.0002922577778620998
6.036253643141098e-11,0.0008628556646108528,0.99986,0.0008627348648178073
3.7174160038755334e-10,0.0022255740974332777,0.99986,0.002225262517059637
2.2893639953956005e-09,0.005422566471141888,0.99986,0.005421807311835928
1.4099007210054122e-08,0.011490379527408012,0.99986,0.011488770874274174
8.682848368080888e-08,0.020676572686022143,0.99986,0.0206736779658461
5.347316634436478e-07,0.03169883708877205,0.99986,0.03169439925157962
3.293135383320953e-06,0.042349562947264274,0.99986,0.042343634008451654
2.0307329662321967e-05,0.053255055433832396,0.99986,0.05324759972607166
0.00012499939689982048,0.0694965324914878,0.99986,0.06948680297693899
0.0007691959223995862,0.09750443124208442,0.99986,0.09749078062171053
0.004737033251608296,0.14177279357944436,0.99986,0.14175294538834324
0.029172792724083466,0.18798909275136527,0.99986,0.18796277427838007
0.17966013537904219,0.24325309752469734,0.99986,0.2432190420910439
1.1064336984697092,0.09063069987370714,0.99986,0.09061801157572483
6.813952142756727,0.0,0.99986,0.0
41.96360237406242,0.0006512646106159293,0.99986,0.000651173433570443
258.4320945195246,0.0001689519802447649,0.99986,0.00016892832696753063
1591.5494309189535,0.0,0.99986,0.0
