tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0002734372212944275,0.99964,0.0002733387838947615
9.801526960674745e-12,0.0009607929152585392,0.99964,0.0009604470298090461
6.036252670659872e-11,0.002483615835468834,0.99964,0.002482721733768065
3.717415391389689e-10,0.00561673220313111,0.99964,0.005614710179537983
2.289363616838787e-09,0.011256653803213055,0.99964,0.011252601407843899
1.4099004877360258e-08,0.01984676651838354,0.99964,0.01983962168243692
8.682846931359695e-08,0.03012388498702284,0.99964,0.03011304038842751
5.347315749620629e-07,0.040311662735801425,0.99964,0.04029715053721653
3.2931348384074265e-06,0.04862596686686769,0.99964,0.048608461518795616
2.0280711990322486e-05,0.056527064832209,0.99964,0.056506715088869404
0.0001252856188824528,0.0689190199153414,0.99964,0.06889420906817187
0.000769184574267607,0.09073370453774436,0.99964,0.09070104040411077
0.004737115506526731,0.12811637434480333,0.99964,0.1280702524500392
0.029172787896873165,0.16913794801707308,0.99964,0.16907705835578693
0.17966015654751252,0.23339029087046612,0.99964,0.23330627036575274
1.106433695775245,0.09286862061811084,0.99964,0.09283518791468831
6.813952142756727,0.0,0.99964,0.0
41.96360237406245,0.0004897139390514002,0.99964,0.0004895376420333417
258.4320945195246,0.0002162892208449047,0.99964,0.00021621135672540053
1591.5494309189535,0.0,0.99964,0.0
