tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0006598517039755566,0.99845,0.0006588289338343944
9.801527609908411e-12,0.00319489699567675,0.99845,0.0031899449053334507
6.03625313541263e-11,0.006095972150455704,0.99845,0.006086523393622497
3.717415684099181e-10,0.011497143004811793,0.99845,0.011479322433154334
2.2893637977526376e-09,0.019041670053993286,0.99845,0.019012155465409596
1.4099005992164202e-08,0.028327236449367982,0.99845,0.02828332923287146
8.682847617974633e-08,0.037583423174863254,0.99845,0.037525168868942214
5.347316172477703e-07,0.04536369391065302,0.99845,0.045293380185091506
3.2931350988237627e-06,0.05114949512544672,0.99845,0.051070213408002274
2.0280713594092486e-05,0.056831889170217295,0.99845,0.056743799742003456
0.0001251702988263916,0.06686241458503882,0.99845,0.066758777842432
0.000769184635093639,0.08463592203451897,0.99845,0.08450473635536547
0.004737076769367113,0.11710346512630666,0.99845,0.11692195475536088
0.02917279020381612,0.1526952482639221,0.99845,0.15245857062911303
0.17966014836657593,0.2231625276690842,0.99845,0.22281662575119712
1.106433696852917,0.09510355708402929,0.99845,0.09495614657054904
6.813952142756727,0.0,0.99845,0.0
41.963602374062425,0.00035178073004985504,0.99845,0.0003512354699182777
258.4320945195246,0.0002510197704105744,0.99845,0.00025063068976643804
1591.5494309189535,0.0,0.99845,0.0
