tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.00048767626774952756,0.99912,0.00048724711263390796
9.801527625098024e-12,0.002084706056974015,0.99912,0.002082871515643878
6.036253146286087e-11,0.004519358355215512,0.99912,0.004515381319862922
3.717415690947476e-10,0.009172986211224352,0.99912,0.009164913983358475
2.2893638019853377e-09,0.016352195323242745,0.99912,0.01633780539135829
1.4099006018246398e-08,0.025885620137575498,0.99912,0.02586284079185443
8.682847634038827e-08,0.036037737771917135,0.99912,0.036006024562677846
5.347316182370959e-07,0.0449086150062972,0.99912,0.044869095425091654
3.2931351049165067e-06,0.05150500896694322,0.99912,0.05145968455905231
2.0280713631614555e-05,0.05754501839029135,0.99912,0.057494378774107895
0.00012514973719004237,0.06775615645897791,0.99912,0.06769653104129401
0.000769184636516735,0.08616437040448557,0.99912,0.08608854575852963
0.0047370757355745955,0.11962355057308931,0.99912,0.11951828184858498
0.029172790257789738,0.15679325574701833,0.99912,0.15665527768196094
0.17966014776531564,0.2259614580165412,0.99912,0.22576261193348662
1.1064336969278705,0.0944787549015673,0.99912,0.09439561359725393
6.813952142756727,0.0,0.99912,0.0
41.96360237406243,0.00038474026959612164,0.99912,0.00038440169815887705
258.4320945195246,0.00025359518310634623,0.99912,0.00025337201934521263
1591.5494309189535,0.0,0.99912,0.0
