tau_i,alpha_i,G_0,G_i
1.5915494309189534e-12,0.0012433823025130382,0.99569,0.001238023324789207
9.80152753987569e-12,0.006421112741783317,0.99569,0.00639343774586623
6.036253085279832e-11,0.009747503082639625,0.99569,0.009705491344353449
3.7174156525246596e-10,0.016113061693814473,0.99569,0.01604361439791413
2.289363778237492e-09,0.023315980303679283,0.99569,0.023215488428570425
1.4099005871910496e-08,0.031244414030211696,0.99569,0.031109750605741483
8.682847543909601e-08,0.0382684790657935,0.99569,0.038103541921019925
5.347316126864185e-07,0.04407370712389714,0.99569,0.04388374944619314
3.2931350707326787e-06,0.048771256653574756,0.99569,0.04856105253739785
2.0280713421093972e-05,0.05441691375575563,0.99569,0.05418237685746832
0.00012518802177101038,0.06489620609960563,0.99569,0.06461650345131632
0.000769184628532341,0.08267773143324132,0.99569,0.08232139041076406
0.004737083290300665,0.11435280802944127,0.99569,0.11385994742683438
0.029172789954966413,0.14804768962887307,0.99569,0.14740960408657264
0.1796601499480268,0.2196764722757445,0.99569,0.21872966668023602
1.1064336966441717,0.09607134765867753,0.99569,0.09565728015026863
6.813952142756727,0.0,0.99569,0.0
41.963602374062425,0.00031164280353274034,0.99569,0.0003102996230495142
258.4320945195246,0.00026947326026119053,0.99569,0.0002683118305094648
1591.5494309189535,0.0,0.99569,0.0
